Location Listing,,,,,,,
,,Max,Fill,Always,,,
Location Name,Location Formal Name,Capacity,Ratio,Shared,Campus Partition,Default Layout,Capacity
SL 003,BOS-Snell Library-003,24,,No,BOSTON CLASSROOMS,CLASSROOM,24
SL 005,BOS-Snell Library-005,44,,No,BOSTON CLASSROOMS,CLASSROOM,44
SL 007,BOS-Snell Library-007,32,,No,BOSTON CLASSROOMS,CLASSROOM,32
SL 009,BOS-Snell Library-009,22,,No,BOSTON CLASSROOMS,CLASSROOM,22
SL 011,BOS-Snell Library-011,24,,No,BOSTON CLASSROOMS,CLASSROOM,24
SL 012,BOS-Snell Library-012,36,,No,BOSTON CLASSROOMS,CLASSROOM,36
SL 013,BOS-Snell Library-013,37,,No,BOSTON CLASSROOMS,CLASSROOM,37
SL 015,BOS-Snell Library-015,38,,No,BOSTON CLASSROOMS,CLASSROOM,38
SL 017,BOS-Snell Library-017,35,,No,BOSTON CLASSROOMS,CLASSROOM,35
SL 031,BOS-Snell Library-031,54,,No,BOSTON CLASSROOMS,CLASSROOM,54
SL 033,BOS-Snell Library-033,54,,No,BOSTON CLASSROOMS,CLASSROOM,54
SL 035,BOS-Snell Library-035,54,,No,BOSTON CLASSROOMS,CLASSROOM,54
SL 037,BOS-Snell Library-037,48,,No,BOSTON CLASSROOMS,CLASSROOM,48
SL 039,BOS-Snell Library-039,45,,No,BOSTON CLASSROOMS,CLASSROOM,45
SL 043,BOS-Snell Library-043,24,,No,BOSTON CLASSROOMS,CLASSROOM,24
SL 045,BOS-Snell Library-045,12,,No,BOSTON CLASSROOMS,CLASSROOM,12
SL 047,BOS-Snell Library-047,14,,No,BOSTON CLASSROOMS,CLASSROOM,14
SL 049,BOS-Snell Library-049,16,,No,BOSTON CLASSROOMS,CLASSROOM,16
SL 111,BOS-Snell Library-111,42,,No,BOSTON CLASSROOMS,CLASSROOM,42
SL 115,BOS-Snell Library-115,36,,No,BOSTON CLASSROOMS,CLASSROOM,36
SL 117,BOS-Snell Library-117,49,,No,BOSTON CLASSROOMS,CLASSROOM,49
SL 119,BOS-Snell Library-119,40,,No,BOSTON CLASSROOMS,CLASSROOM,40
SL 121,BOS-Snell Library-121,48,,No,BOSTON CLASSROOMS,CLASSROOM,48
SL 123,BOS-Snell Library-123,40,,No,BOSTON CLASSROOMS,CLASSROOM,40
SL 125,BOS-Snell Library-125,33,,No,BOSTON CLASSROOMS,CLASSROOM,33
SN 108,BOS-Snell Engineering-108,184,,No,BOSTON CLASSROOMS,CLASSROOM,184
SN 168,BOS-Snell Engineering-168,184,,No,BOSTON CLASSROOMS,CLASSROOM,184
ST 012,BOS-Stearns-012,20,,No,BOSTON CLASSROOMS,CLASSROOM,20
WVC 140,BOS-West Village-140C,28,,No,BOSTON CLASSROOMS,CLASSROOM,28
WVF 020,BOS-West Village-020F,257,,No,BOSTON CLASSROOMS,CLASSROOM,257
WVF 114,JDOAAI -Classroom - 114,18,,No,BOSTON CLASSROOMS,Boston - As Is,18
WVF 116,JDOAAI - Classroom - 116,13,,No,BOSTON CLASSROOMS,Boston - As Is,13
WVF 118,JDOAAI - Classroom - 118,22,,No,BOSTON CLASSROOMS,Boston - As Is,22
WVG 102,BOS-West Village -102G,73,,No,BOSTON CLASSROOMS,CLASSROOM,73
WVG 104,BOS-West Village -104G,73,,No,BOSTON CLASSROOMS,CLASSROOM,73
WVG 106,BOS-West Village -106G,73,,No,BOSTON CLASSROOMS,CLASSROOM,73
WVG 108,BOS-West Village -108G,73,,No,BOSTON CLASSROOMS,CLASSROOM,73
WVH 108,BOS-West Village -108H,68,,No,BOSTON CLASSROOMS,CLASSROOM,68
WVH 110,BOS-West Village -110H,68,,No,BOSTON CLASSROOMS,CLASSROOM,68
