student_id,exam_num,CRN,Course,Day,Block,Room,Capacity,Size,Valid
2010982,1,20018,JRNL3455,Sat,3 (4:30–6:30),BOS-Richards-325A,13,13,True
2012555,1,11153,GAME4700,Tue,3 (4:30–6:30),BOS-Snell Library-047,14,14,True
2013222,1,20322,ARTG1291,Thu,0 (9:00–11:00),BOS-Ryder-299,14,14,True
2013299,1,15638,POLS4505,Wed,2 (2:00–4:00),BOS-Hayden-222,30,30,True
2013650,1,14763,PSYC1210,Wed,1 (11:30–1:30),BOS-Knowles-010,75,75,True
2013681,1,13530,DS2000,Thu,1 (11:30–1:30),BOS-Richards-236,149,139,True
2014290,1,20320,ARTG1291,Fri,1 (11:30–1:30),BOS-Ryder-299,14,14,True
2016452,1,22817,ARCH2320,Sat,4 (7:00–9:00),BOS-Snell Library-045,12,12,True
2016741,1,13225,CS4180,Tue,4 (7:00–9:00),JDOAAI - Classroom - 116,13,13,True
2017845,1,11591,PHTH1270,Tue,4 (7:00–9:00),BOS-Snell Library-009,22,22,True
2019577,1,20315,ARTG1291,Wed,4 (7:00–9:00),BOS-Ryder-299,14,14,True
2020745,1,13871,ARTG3460,Sat,2 (2:00–4:00),BOS-Ryder-147,18,15,True
2021125,1,12403,MUSC1906,Fri,2 (2:00–4:00),BOS-West Village -108H,68,68,True
2021894,1,14516,EDUC1111,Tue,0 (9:00–11:00),BOS-Dodge-111,18,18,True
2022464,1,15676,MUSC2210,Wed,2 (2:00–4:00),BOS-Behrakis Building-210,16,15,True
2022498,1,15761,NRSG2350,Sat,2 (2:00–4:00),BOS-Hayden-424,36,36,True
2031690,1,12519,GRMN1101,Wed,0 (9:00–11:00),BOS-Ryder-147,18,11,True
2032743,1,10308,EECE3324,Sun,1 (11:30–1:30),BOS-HASTINGS-107,32,32,True
2036113,1,20319,ARTG1291,Thu,4 (7:00–9:00),JDOAAI - Classroom - 116,13,13,True
2042672,1,11828,ARCH3370,Sat,1 (11:30–1:30),JDOAAI -Classroom - 114,18,10,True
2042764,1,20316,ARTG1291,Thu,1 (11:30–1:30),BOS-Snell Library-047,14,14,True
2044931,1,15453,CS3000,Sat,2 (2:00–4:00),BOS-Shillman-335,114,109,True
2047469,1,20318,ARTG1291,Fri,0 (9:00–11:00),BOS-Snell Library-047,14,14,True
2052054,1,22416,EXED5945,Thu,0 (9:00–11:00),BOS-Ryder-452,26,26,True
2052395,1,10746,FINA3303,Tue,2 (2:00–4:00),BOS-Richards-275,38,38,True
2052874,1,20789,LING3442,Thu,3 (4:30–6:30),JDOAAI -Classroom - 114,18,11,True
2054089,1,22416,EXED5945,Thu,0 (9:00–11:00),BOS-Ryder-452,26,26,True
2054293,1,14245,BIOL5583,Wed,4 (7:00–9:00),BOS-Ryder-460,25,25,True
2056937,1,20318,ARTG1291,Fri,0 (9:00–11:00),BOS-Snell Library-047,14,14,True
2057825,1,17223,CS3200,Sat,3 (4:30–6:30),BOS-Richards-300,107,106,True
2057945,1,15400,GE5030,Fri,0 (9:00–11:00),BOS-Ryder-269,20,2,True
2058059,1,22704,MATH2341,Sun,1 (11:30–1:30),BOS-Ryder-155,33,33,True
2058084,1,22416,EXED5945,Thu,0 (9:00–11:00),BOS-Ryder-452,26,26,True
2058762,1,14992,CHEM1163,Mon,2 (2:00–4:00),BOS-Ryder-277,20,14,True
2059564,1,12411,MUSC1920,Mon,4 (7:00–9:00),BOS-Richards-236,149,144,True
2060653,1,14731,ECON1126,Thu,3 (4:30–6:30),BOS-Ryder-429,42,42,True
2061934,1,21811,INTB4202,Sun,2 (2:00–4:00),BOS-Ryder-155,33,33,True
2062114,1,22416,EXED5945,Thu,0 (9:00–11:00),BOS-Ryder-452,26,26,True
2062470,1,22416,EXED5945,Thu,0 (9:00–11:00),BOS-Ryder-452,26,26,True
2063096,1,22416,EXED5945,Thu,0 (9:00–11:00),BOS-Ryder-452,26,26,True
2064333,1,22416,EXED5945,Thu,0 (9:00–11:00),BOS-Ryder-452,26,26,True
2066069,1,21819,ARCH1453,Fri,2 (2:00–4:00),BOS-Hayden-425,34,34,True
2066389,1,22416,EXED5945,Thu,0 (9:00–11:00),BOS-Ryder-452,26,26,True
2068500,1,22416,EXED5945,Thu,0 (9:00–11:00),BOS-Ryder-452,26,26,True
2119173,1,20322,ARTG1291,Thu,0 (9:00–11:00),BOS-Ryder-299,14,14,True
