student_id,Exam 1,Exam 2,Exam 3,Exam 4,Exam 5,Exam 6,Exam 7,Exam 8
2510514,11108 | GE1000 | Thu 2 (2:00–4:00) | BOS-INV-014 | cap 21 | size 21 | valid True,,,,,,,
2510544,11412 | CS2500 | Sat 0 (9:00–11:00) | BOS-Dodge-050 | cap 82 | size 82 | valid True,14684 | CS1800 | Sun 3 (4:30–6:30) | BOS-Richards-236 | cap 149 | size 141 | valid True,13030 | MATH1365 | Tue 0 (9:00–11:00) | BOS-Snell Library-123 | cap 40 | size 40 | valid True,12338 | CS1802 | Wed 1 (11:30–1:30) | BOS-Snell Library-013 | cap 37 | size 37 | valid True,,,,
2510584,15542 | ENVR1110 | Thu 2 (2:00–4:00) | BOS-Dodge-050 | cap 82 | size 77 | valid True,20479 | INTL1101 | Wed 0 (9:00–11:00) | BOS-EXP-310 | cap 45 | size 45 | valid True,,,,,,
2510591,10738 | PHMD1000 | Fri 1 (11:30–1:30) | BOS-Robinson-411 | cap 51 | size 50 | valid True,12718 | CHEM1163 | Mon 2 (2:00–4:00) | BOS-Kariotis-302 | cap 30 | size 30 | valid True,12734 | CHEM1161 | Sun 1 (11:30–1:30) | BOS-Richards-236 | cap 149 | size 145 | valid True,,,,,
2510664,11327 | ENGW1111 | Fri 1 (11:30–1:30) | BOS-Ryder-159 | cap 36 | size 19 | valid True,19133 | ARTG1002 | Mon 0 (9:00–11:00) | BOS-Ryder-275 | cap 20 | size 14 | valid True,16015 | ARTG1001 | Sat 2 (2:00–4:00) | BOS-Churchill-103 | cap 166 | size 137 | valid True,13974 | ACCT1201 | Wed 3 (4:30–6:30) | BOS-Richards-238 | cap 42 | size 42 | valid True,,,,
2510667,14349 | INSC1000 | Mon 1 (11:30–1:30) | BOS-Ryder-202 | cap 17 | size 17 | valid True,,,,,,,
2510695,14783 | CHEM1161 | Mon 1 (11:30–1:30) | BOS-West Village -108G | cap 73 | size 73 | valid True,14933 | CHEM1163 | Sat 1 (11:30–1:30) | BOS-Forsyth-130 | cap 40 | size 40 | valid True,15249 | BIOL1000 | Thu 3 (4:30–6:30) | BOS-Forsyth-129 | cap 38 | size 38 | valid True,,,,,
2510726,11122 | MATH1341 | Fri 0 (9:00–11:00) | BOS-Forsyth-235 | cap 39 | size 39 | valid True,13476 | GE1000 | Thu 4 (7:00–9:00) | BOS-Ryder-124 | cap 24 | size 24 | valid True,,,,,,
2510728,14783 | CHEM1161 | Mon 1 (11:30–1:30) | BOS-West Village -108G | cap 73 | size 73 | valid True,15059 | CHEM1163 | Thu 4 (7:00–9:00) | BOS-Ryder-158 | cap 27 | size 27 | valid True,12388 | BIOL1107 | Wed 4 (7:00–9:00) | BOS-Richards-236 | cap 149 | size 147 | valid True,,,,,
2510735,17028 | INNO2301 | Sun 0 (9:00–11:00) | BOS-Forsyth-130 | cap 40 | size 39 | valid True,16424 | ACCT1201 | Thu 4 (7:00–9:00) | BOS-Forsyth-129 | cap 38 | size 37 | valid True,15811 | INTB1205 | Tue 0 (9:00–11:00) | BOS-Snell Library-013 | cap 37 | size 37 | valid True,15779 | BUSN1102 | Tue 4 (7:00–9:00) | BOS-Richards-241 | cap 27 | size 27 | valid True,11341 | ENGW1111 | Wed 2 (2:00–4:00) | BOS-Ryder-283 | cap 20 | size 18 | valid True,,,
